TIPO;ESTADO;RED;NOMENCLATURA;EQUIPO A;EQUIPO B;DEPENDENCIA;DIRECCION;LATITUD;LONGITUD;LOCALIDAD;PROVINCIA;ACOMETIDA 1;ACOMETIDA 2;TRIBUTARIO;CONEXIÓN OTRAS DEPENDENCIAS;OTRAS DEPENDENCIAS;SERVICIOS REGULARIZADOS;INFRAESTRUCTURA INSTALADA;OBSERVACIONES;MIGRAR;EJECUTIVO DE CUENTA
Nodo;ACTIVO;REFEFO AMBA;CIU34AC11;CIU31AC11;CBA2AG11H;Ministerio del Interior;Leandro N. Alem 168 PB;-34,605602;-58,370340;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;SI;CNV, Provincia NET;NO;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";Se conecta localmente en el mismo DC dde está el ATN;SI;Martín Iguaín
ODF;ACTIVO;REFEFO AMBA;CIU34AC11;-;-;Comisión Nacional de Valores;25 de Mayo 175;-34,605884;-58,370546;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;NO;-;SI;Cable Puente;"CONTRATA TERCEROS ACTUALMENTE
Tiene un cable puente entre el ODF de Min. Interior y el ODF que se instaló en el DC de CNV.";SI;Martín Iguaín
ODF;ACTIVO;REFEFO AMBA;CIU34AC11;-;-;Provincia NET;Mitre 430;-34,606726;-58,372613;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;NO;-;NO;Cable Puente;Acometida propia de ARSAT desde vereda. ODF en sala de Provedoores. DPT tiene Racks propios con equipos de borde.;SI;Martín Iguaín
Nodo;ACTIVO;REFEFO AMBA;CIU35AC11;CIU36AC11;CIU79AC11;Ministerio de Justicia;Sarmiento 329 1° Subsuelo;-34,604186;-58,371495;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NO;NO;-;NO;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";Se conecta localmente en el mismo DC dde está el ATN;SI;Pablo Olivera
Nodo;ACTIVO;REFEFO AMBA;CIU36AC11;CIU65AG11H;CIU35AC11;Centro Cultural Kirchner (Secretaria de Medios);Sarmiento 151 piso 7;-34,603280;-58,369449;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;SI;Secretaria de Medios, Centro Cultural;SI, NO;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
8) Baterías (4x12V x 20Ah)
*Todo en Rack del Organismo";Se conecta localmente en el mismo DC dde está el ATN;SI;Miguel Tobia
ODF;ACTIVO;REFEFO AMBA;CIU36AC11;-;-;Centro Cultural;Sarmiento 151;-34,603280;-58,369449;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;NO;-;SI, NO;Cable Puente;Tiene un cable puente entre el ODF del Nodo en Medios y el ODF que se instaló en el DC del Centro Cultural.;SI;Miguel Tobia
Nodo;ACTIVO;REFEFO AMBA;CIU37AC11;CIU65AG11H;CIU43AC11;Ministerio de Produccion;Av. Presidente Julio A. Roca 651;-34,610522;-58,375432;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NO;NO;-;NO;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";Se conecta localmente en el mismo DC dde está el ATN;CONECTAR;Martín Iguaín
Nodo;ACTIVO;REFEFO AMBA;CIU38AC11;CIU30AC11 ;-;Ministerio de Agroindustria;Av. Paseo Colón 982;-34,618603;-58,368063;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NO;NO;-;NO;"1) Una acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";Se conecta localmente en el mismo DC dde está el ATN;SI;Martín Iguaín
Nodo;ACTIVO;REFEFO AMBA;CIU42AC11;CIU65AG11H;CBA2AG11H;Ministerio de Desarrollo Social;Av. 9 de Julio 1925, Piso 20;-34,612183;-58,381454;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;SI;Ministerio de Salud;SI, NO;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
8) Baterías (4x12V x 20Ah)
*Todo en Rack del Organismo";Se conecta localmente en el mismo DC dde está el ATN;SI;Julio Bort
ODF;ACTIVO;REFEFO AMBA;CIU42AC11;-;-;Ministerio de Salud;Av. 9 de Julio 1925, Piso 5;-34,612183;-58,381454;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;SI;NO;-;SI, NO;Cable Puente;Tiene Cable puente de FO entre DC MDS y DC MS con ODFs que instaló ARSAT;SI;María del Mar Andrada
Nodo;ACTIVO;REFEFO AMBA;CIU43AC11;CIU37AC11;CIU47AC11;INDEC;Av. Presidente Julio A. Roca 609;-34,610190;-58,375287;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;PROPIA;-;NO;NO;-;SI;"1) Doble acometida FO
2) Cámara Frontera
3) ODF 24 PD LC
6) ATN910B
7) Rectificador
*Todo en Rack del Organismo";El ATN se encuentra en el mismo DC donde está el equipo de borde del cliente.;NO;Martín Iguaín
